Days,AvgTemperature
1,5.333333333
2,2.722222222
3,1.611111111
4,2.277777778
5,5.277777778
6,3.333333333
7,3.611111111
8,6.055555556
9,-0.888888889
10,-4.111111111
11,-1.277777778
12,-3.833333333
13,-6.5
14,-8.222222222
15,-6.055555556
16,-4.5
17,-1.555555556
18,-1.888888889
19,-1.333333333
20,-7.833333333
21,-5.222222222
22,-9.722222222
23,-9.944444444
24,-8.333333333
25,-6.222222222
26,0.777777778
27,-4.611111111
28,-0.111111111
29,-1
30,-7.222222222
31,-5.388888889
32,-5.055555556
33,-0.444444444
34,0.166666667
35,1.666666667
36,-0.222222222
37,-2.444444444
38,-2.444444444
39,-2
40,-5.222222222
41,-5.777777778
42,-4.388888889
43,-2.333333333
44,-0.333333333
45,-0.833333333
46,0.833333333
47,7.388888889
48,-2.222222222
49,-1.444444444
50,3.722222222
51,-4.111111111
52,0.5
53,0.333333333
54,-1.888888889
55,-1.111111111
56,2.166666667
57,1.722222222
58,2.222222222
59,6.055555556
60,4.222222222
61,0.444444444
62,3.111111111
63,4.111111111
64,4.055555556
65,0.055555556
66,-2.055555556
67,0.555555556
68,2.777777778
69,3.444444444
70,6.388888889
71,6.722222222
72,5.166666667
73,4.833333333
74,4.111111111
75,4.611111111
76,7.166666667
77,6.888888889
78,8.777777778
79,7.833333333
80,6.5
81,7.388888889
82,6.944444444
83,7.555555556
84,6.333333333
85,7.111111111
86,4.777777778
87,6.777777778
88,7
89,10.5
90,7
91,7.166666667
92,8.388888889
93,10.05555556
94,13.77777778
95,12.38888889
96,9.888888889
97,12.11111111
98,11.22222222
99,14.88888889
100,15.16666667
101,13.61111111
102,10.05555556
103,12.88888889
104,12.83333333
105,15.61111111
106,17.72222222
107,12.33333333
108,11.38888889
109,12.72222222
110,11.11111111
111,11.5
112,13.27777778
113,13.5
114,15.44444444
115,14.27777778
116,13.44444444
117,13.38888889
118,13.33333333
119,17.27777778
120,16.72222222
121,18.05555556
122,17.88888889
123,20
124,20.72222222
125,18
126,14.27777778
127,16.05555556
128,18.38888889
129,16.05555556
130,15.61111111
131,19.44444444
132,17.27777778
133,15.88888889
134,15.94444444
135,16.05555556
136,15.83333333
137,17.94444444
138,19.88888889
139,19.61111111
140,19.38888889
141,20
142,20.44444444
143,19.22222222
144,19.55555556
145,17.83333333
146,17.44444444
147,18.38888889
148,20.94444444
149,23.22222222
150,21.77777778
151,22.55555556
152,21.05555556
153,20.11111111
154,19.44444444
155,21.16666667
156,23.61111111
157,18.33333333
158,17.33333333
159,20.16666667
160,20.44444444
161,19.55555556
162,22.72222222
163,21.22222222
164,20.22222222
165,21.05555556
166,22.55555556
167,24.11111111
168,22.11111111
169,22.77777778
170,23.16666667
171,25.27777778
172,24
173,23.77777778
174,25.38888889
175,22.77777778
176,24.27777778
177,24
178,24.22222222
179,25.11111111
180,25.38888889
181,24.88888889
182,25.5
183,24.61111111
184,24.94444444
185,26
186,27
187,28.27777778
188,26.72222222
189,26.11111111
190,26.44444444
191,23.55555556
192,27.11111111
193,25.83333333
194,27.66666667
195,27.72222222
196,24.72222222
197,26.77777778
198,26.22222222
199,26.55555556
200,27.44444444
201,29.88888889
202,29.38888889
203,28.88888889
204,26.88888889
205,25.66666667
206,29.22222222
207,28.05555556
208,26.61111111
209,25.61111111
210,27.38888889
211,27.22222222
212,25.05555556
213,28.61111111
214,29.72222222
215,29.61111111
216,29.44444444
217,30.55555556
218,28.22222222
219,28.11111111
220,27.22222222
221,27.83333333
222,25.27777778
223,27.05555556
224,27.94444444
225,26.22222222
226,24
227,22.27777778
228,24.33333333
229,25.16666667
230,25.66666667
231,25.88888889
232,24.33333333
233,25.72222222
234,26.66666667
235,28.05555556
236,24.61111111
237,23.66666667
238,23.05555556
239,22.05555556
240,20
241,18.05555556
242,19.5
243,20.94444444
244,22.16666667
245,22.77777778
246,23.11111111
247,23.94444444
248,21.72222222
249,19.88888889
250,22.5
251,22.94444444
252,22.88888889
253,22.61111111
254,20.38888889
255,20.94444444
256,19.83333333
257,21.44444444
258,22.11111111
259,21.66666667
260,21.55555556
261,21.66666667
262,21.11111111
263,18.38888889
264,19.27777778
265,20.66666667
266,20.94444444
267,21.27777778
268,22.33333333
269,24.05555556
270,20.22222222
271,16.38888889
272,17.44444444
273,19.77777778
274,17.66666667
275,19.38888889
276,14.72222222
277,15.55555556
278,18.94444444
279,18.88888889
280,20.66666667
281,21.22222222
282,20.66666667
283,20.5
284,13.27777778
285,9.055555556
286,11.77777778
287,13.27777778
288,15.44444444
289,13.72222222
290,15.27777778
291,15.55555556
292,14.72222222
293,14.83333333
294,14.94444444
295,14.22222222
296,12.05555556
297,12.44444444
298,13.16666667
299,13.83333333
300,14.05555556
301,14.72222222
302,8.333333333
303,5.777777778
304,11.72222222
305,14.94444444
306,15.16666667
307,8.611111111
308,5.722222222
309,9.333333333
310,11.44444444
311,15.38888889
312,9.111111111
313,8.722222222
314,8.444444444
315,3.944444444
316,5.555555556
317,9.722222222
318,5.111111111
319,1.111111111
320,0.611111111
321,2.611111111
322,-3.5
323,-1.166666667
324,-1.388888889
325,3.222222222
326,2.444444444
327,0.555555556
328,-1.277777778
329,4
330,0.333333333
331,1.388888889
332,6.333333333
333,-0.611111111
334,-3.888888889
335,-2.555555556
336,4
337,4.277777778
338,-3.944444444
339,-2.833333333
340,1.611111111
341,-2.222222222
342,-3.611111111
343,0.777777778
344,-0.111111111
345,-8.722222222
346,-9.333333333
347,-8.944444444
348,-6.944444444
349,-3.111111111
350,-7.388888889
351,-5
352,-0.5
353,-6.166666667
354,-3.611111111
355,-1.722222222
356,4.666666667
357,5.944444444
358,0.055555556
359,-2.444444444
360,-6
361,-6
362,-0.333333333
363,0.055555556
364,1.277777778
365,-2.388888889
